Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Aragón;Mujeres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;98,1
Aragón;Mujeres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);90,8
Aragón;Mujeres;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;52,5
Aragón;Mujeres;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;26.834
Aragón;Mujeres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Aragón;Mujeres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;100,0
Aragón;Mujeres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Aragón;Mujeres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);94,3
Aragón;Mujeres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;23,7
Asturias, Principado de;Ambos sexos;Total Personas;Total Personas;761.818
Asturias, Principado de;Ambos sexos;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,1
Asturias, Principado de;Ambos sexos;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;91,1
Asturias, Principado de;Ambos sexos;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;89,3
Asturias, Principado de;Ambos sexos;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);80,4
Asturias, Principado de;Ambos sexos;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;52,1
Asturias, Principado de;Ambos sexos;Edad: De 16 a 24 años;Total Personas;70.052
Asturias, Principado de;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);93,9
Asturias, Principado de;Ambos sexos;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;62,7
Asturias, Principado de;Ambos sexos;Edad: De 25 a 34 años;Total Personas;88.237
Asturias, Principado de;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;96,5
Asturias, Principado de;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;96,5
Asturias, Principado de;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;96,5
Asturias, Principado de;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);94,6
Asturias, Principado de;Ambos sexos;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;75,8
Asturias, Principado de;Ambos sexos;Edad: De 35 a 44 años;Total Personas;144.917
Asturias, Principado de;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);95,2
Asturias, Principado de;Ambos sexos;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;76,2
Asturias, Principado de;Ambos sexos;Edad: De 45 a 54 años;Total Personas;164.463
Asturias, Principado de;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Asturias, Principado de;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;96,8
Asturias, Principado de;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,0
Asturias, Principado de;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);85,0
Asturias, Principado de;Ambos sexos;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;57,4
Asturias, Principado de;Ambos sexos;Edad: De 55 a 64 años;Total Personas;161.810
Asturias, Principado de;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,5
Asturias, Principado de;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;89,4
Asturias, Principado de;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;88,3
Asturias, Principado de;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);74,8
Asturias, Principado de;Ambos sexos;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;37,9
Asturias, Principado de;Ambos sexos;Edad: De 65 a 74 años;Total Personas;132.339
Asturias, Principado de;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,5
Asturias, Principado de;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;68,3
Asturias, Principado de;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;62,3
Asturias, Principado de;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);48,8
Asturias, Principado de;Ambos sexos;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;14,9
Asturias, Principado de;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total Personas;363.691
Asturias, Principado de;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,2
Asturias, Principado de;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet en los últimos 3 meses;93,5
Asturias, Principado de;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;91,5
Asturias, Principado de;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);81,8
Asturias, Principado de;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han comprado a través de Internet en los últimos 3 meses;54,7
Asturias, Principado de;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Total Personas;178.721
Asturias, Principado de;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
Asturias, Principado de;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;87,9
Asturias, Principado de;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;86,5
Asturias, Principado de;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);78,4
Asturias, Principado de;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;52,4
Asturias, Principado de;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Total Personas;..
Asturias, Principado de;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;..
Asturias, Principado de;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;..
Asturias, Principado de;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;..
Asturias, Principado de;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);..
Asturias, Principado de;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;..
Asturias, Principado de;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Total Personas;130.598
Asturias, Principado de;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;91,7
Asturias, Principado de;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;91,4
Asturias, Principado de;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);82,6
Asturias, Principado de;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;51,5
Asturias, Principado de;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Total Personas;88.809
Asturias, Principado de;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;97,9
Asturias, Principado de;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;87,3
Asturias, Principado de;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;82,5
Asturias, Principado de;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);75,5
Asturias, Principado de;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;41,6
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Total Personas;97.792
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet en los últimos 3 meses;84,1
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;83,2
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);75,2
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han comprado a través de Internet en los últimos 3 meses;38,9
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Total Personas;270.587
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,6
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet en los últimos 3 meses;86,9
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;85,8
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);73,5
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;45,0
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Total Personas;246.613
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,8
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet en los últimos 3 meses;95,4
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;92,3
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);87,0
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 3 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;56,5
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Total Personas;114.932
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet en los últimos 3 meses;95,4
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,5
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);84,6
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;68,1
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;31.893
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,9
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);89,1
Asturias, Principado de;Ambos sexos;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;60,9
Asturias, Principado de;Hombres;Total Personas;Total Personas;372.559
Asturias, Principado de;Hombres;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Asturias, Principado de;Hombres;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;91,0
Asturias, Principado de;Hombres;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;88,7
Asturias, Principado de;Hombres;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);77,4
Asturias, Principado de;Hombres;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;52,3
Asturias, Principado de;Hombres;Edad: De 16 a 24 años;Total Personas;35.987
Asturias, Principado de;Hombres;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);88,1
Asturias, Principado de;Hombres;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;67,4
Asturias, Principado de;Hombres;Edad: De 25 a 34 años;Total Personas;44.495
Asturias, Principado de;Hombres;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);96,2
Asturias, Principado de;Hombres;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;76,3
Asturias, Principado de;Hombres;Edad: De 35 a 44 años;Total Personas;72.134
Asturias, Principado de;Hombres;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);92,6
Asturias, Principado de;Hombres;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;65,5
Asturias, Principado de;Hombres;Edad: De 45 a 54 años;Total Personas;81.317
Asturias, Principado de;Hombres;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,7
Asturias, Principado de;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;96,5
Asturias, Principado de;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;92,7
Asturias, Principado de;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);80,1
Asturias, Principado de;Hombres;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;58,7
Asturias, Principado de;Hombres;Edad: De 55 a 64 años;Total Personas;77.549
Asturias, Principado de;Hombres;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,0
Asturias, Principado de;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;82,9
Asturias, Principado de;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;81,3
Asturias, Principado de;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);69,7
Asturias, Principado de;Hombres;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;38,4
Asturias, Principado de;Hombres;Edad: De 65 a 74 años;Total Personas;61.077
Asturias, Principado de;Hombres;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,5
Asturias, Principado de;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;71,4
Asturias, Principado de;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;64,3
Asturias, Principado de;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);45,5
Asturias, Principado de;Hombres;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;19,1
Asturias, Principado de;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total Personas;172.652
Asturias, Principado de;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet en los últimos 3 meses;95,0
Asturias, Principado de;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;92,3
Asturias, Principado de;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);78,5
Asturias, Principado de;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han comprado a través de Internet en los últimos 3 meses;56,8
Asturias, Principado de;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Total Personas;95.451
Asturias, Principado de;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,0
Asturias, Principado de;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;84,9
Asturias, Principado de;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;83,4
Asturias, Principado de;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);73,1
Asturias, Principado de;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;55,3
Asturias, Principado de;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Total Personas;..
Asturias, Principado de;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;..
Asturias, Principado de;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;..
Asturias, Principado de;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;..
Asturias, Principado de;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);..
Asturias, Principado de;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;..
Asturias, Principado de;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Total Personas;53.173
Asturias, Principado de;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;93,7
Asturias, Principado de;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,7
Asturias, Principado de;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);80,5
Asturias, Principado de;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;47,8
Asturias, Principado de;Hombres;Hábitat: Menos de 10.000 habitantes;Total Personas;51.282
Asturias, Principado de;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;96,4
Asturias, Principado de;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;86,1
Asturias, Principado de;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;80,9
Asturias, Principado de;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);78,4
Asturias, Principado de;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;36,1
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 1 miembro;Total Personas;45.179
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet en los últimos 3 meses;83,4
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;83,4
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);75,0
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han comprado a través de Internet en los últimos 3 meses;44,9
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 2 miembros;Total Personas;127.869
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;97,8
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet en los últimos 3 meses;85,8
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;84,9
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);68,8
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;46,4
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 3 miembros;Total Personas;129.113
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet en los últimos 3 meses;96,5
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;91,8
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);87,2
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;53,8
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 4 miembros;Total Personas;61.942
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet en los últimos 3 meses;94,6
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,6
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);78,9
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;70,9
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;8.457
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;100,0
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;80,9
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);58,8
Asturias, Principado de;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;20,6
Asturias, Principado de;Mujeres;Total Personas;Total Personas;389.259
Asturias, Principado de;Mujeres;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
Asturias, Principado de;Mujeres;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;91,3
Asturias, Principado de;Mujeres;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;89,9
Asturias, Principado de;Mujeres;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);83,3
Asturias, Principado de;Mujeres;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;51,9
Asturias, Principado de;Mujeres;Edad: De 16 a 24 años;Total Personas;34.065
Asturias, Principado de;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;100,0
