Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Total Nacional;Ambos sexos;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han comprado a través de Internet en los últimos 3 meses;56,6
Total Nacional;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Total Personas;4.454.693
Total Nacional;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,2
Total Nacional;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;95,1
Total Nacional;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,7
Total Nacional;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);86,0
Total Nacional;Ambos sexos;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;54,4
Total Nacional;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Total Personas;5.377.260
Total Nacional;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,5
Total Nacional;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;92,6
Total Nacional;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;90,1
Total Nacional;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);81,3
Total Nacional;Ambos sexos;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;51,8
Total Nacional;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Total Personas;3.940.311
Total Nacional;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,1
Total Nacional;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;91,7
Total Nacional;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;89,5
Total Nacional;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);81,0
Total Nacional;Ambos sexos;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;50,8
Total Nacional;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Total Personas;6.563.572
Total Nacional;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,1
Total Nacional;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;90,1
Total Nacional;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;87,7
Total Nacional;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);77,8
Total Nacional;Ambos sexos;Hábitat: Menos de 10.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;50,6
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Total Personas;3.380.755
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,8
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet en los últimos 3 meses;87,4
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;84,3
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);74,5
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 1 miembro;Personas que han comprado a través de Internet en los últimos 3 meses;43,6
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Total Personas;9.667.105
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,1
Total Nacional;Ambos sexos;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet en los últimos 3 meses;87,1
